Episode,State_X,State_Y,Goal_X,Goal_Y,Distance_to_Goal,Obstacle_Density,Step_Cost,Goal_Reward,Collision_Penalty
1,0,6,7,7,8,0.140625,-1,100,-10
2,5,3,7,7,6,0.140625,-1,100,-10
3,3,6,7,7,5,0.140625,-1,100,-10
4,0,5,7,7,9,0.140625,-1,100,-10
5,1,0,7,7,13,0.140625,-1,100,-10
6,4,7,7,7,3,0.140625,-1,100,-10
7,5,6,7,7,3,0.140625,-1,100,-10
8,5,6,7,7,3,0.140625,-1,100,-10
9,4,1,7,7,9,0.140625,-1,100,-10
10,6,3,7,7,5,0.140625,-1,100,-10
11,4,2,7,7,8,0.140625,-1,100,-10
12,1,7,7,7,6,0.140625,-1,100,-10
13,6,5,7,7,3,0.140625,-1,100,-10
14,3,6,7,7,5,0.140625,-1,100,-10
15,4,3,7,7,7,0.140625,-1,100,-10
16,3,1,7,7,10,0.140625,-1,100,-10
17,0,4,7,7,10,0.140625,-1,100,-10
18,7,0,7,7,7,0.140625,-1,100,-10
19,6,6,7,7,2,0.140625,-1,100,-10
20,2,5,7,7,7,0.140625,-1,100,-10
21,1,6,7,7,7,0.140625,-1,100,-10
22,5,2,7,7,7,0.140625,-1,100,-10
23,0,7,7,7,7,0.140625,-1,100,-10
24,3,7,7,7,4,0.140625,-1,100,-10
25,5,6,7,7,3,0.140625,-1,100,-10
26,6,1,7,7,7,0.140625,-1,100,-10
27,2,3,7,7,9,0.140625,-1,100,-10
28,3,0,7,7,11,0.140625,-1,100,-10
29,4,1,7,7,9,0.140625,-1,100,-10
30,5,5,7,7,4,0.140625,-1,100,-10
31,7,5,7,7,2,0.140625,-1,100,-10
32,2,7,7,7,5,0.140625,-1,100,-10
33,3,2,7,7,9,0.140625,-1,100,-10
34,7,2,7,7,5,0.140625,-1,100,-10
35,0,3,7,7,11,0.140625,-1,100,-10
36,6,1,7,7,7,0.140625,-1,100,-10
37,3,1,7,7,10,0.140625,-1,100,-10
38,5,3,7,7,6,0.140625,-1,100,-10
39,2,1,7,7,11,0.140625,-1,100,-10
40,4,5,7,7,5,0.140625,-1,100,-10
41,7,3,7,7,4,0.140625,-1,100,-10
42,1,6,7,7,7,0.140625,-1,100,-10
43,5,5,7,7,4,0.140625,-1,100,-10
44,0,2,7,7,12,0.140625,-1,100,-10
45,6,6,7,7,2,0.140625,-1,100,-10
46,3,6,7,7,5,0.140625,-1,100,-10
47,6,3,7,7,5,0.140625,-1,100,-10
48,7,2,7,7,5,0.140625,-1,100,-10
49,1,5,7,7,8,0.140625,-1,100,-10
50,5,1,7,7,8,0.140625,-1,100,-10
51,6,1,7,7,7,0.140625,-1,100,-10
52,6,0,7,7,8,0.140625,-1,100,-10
53,6,6,7,7,2,0.140625,-1,100,-10
54,6,5,7,7,3,0.140625,-1,100,-10
55,3,5,7,7,6,0.140625,-1,100,-10
56,2,6,7,7,6,0.140625,-1,100,-10
57,4,3,7,7,7,0.140625,-1,100,-10
58,4,4,7,7,6,0.140625,-1,100,-10
59,0,1,7,7,13,0.140625,-1,100,-10
60,1,0,7,7,13,0.140625,-1,100,-10
61,3,5,7,7,6,0.140625,-1,100,-10
62,5,3,7,7,6,0.140625,-1,100,-10
63,6,4,7,7,4,0.140625,-1,100,-10
64,0,6,7,7,8,0.140625,-1,100,-10
65,4,5,7,7,5,0.140625,-1,100,-10
66,4,4,7,7,6,0.140625,-1,100,-10
67,0,4,7,7,10,0.140625,-1,100,-10
68,6,2,7,7,6,0.140625,-1,100,-10
69,4,0,7,7,10,0.140625,-1,100,-10
70,2,3,7,7,9,0.140625,-1,100,-10
71,7,1,7,7,6,0.140625,-1,100,-10
72,2,3,7,7,9,0.140625,-1,100,-10
73,7,6,7,7,1,0.140625,-1,100,-10
74,0,1,7,7,13,0.140625,-1,100,-10
75,6,0,7,7,8,0.140625,-1,100,-10
76,6,2,7,7,6,0.140625,-1,100,-10
77,7,2,7,7,5,0.140625,-1,100,-10
78,3,5,7,7,6,0.140625,-1,100,-10
79,1,4,7,7,9,0.140625,-1,100,-10
80,4,6,7,7,4,0.140625,-1,100,-10
81,7,5,7,7,2,0.140625,-1,100,-10
82,3,3,7,7,8,0.140625,-1,100,-10
83,3,6,7,7,5,0.140625,-1,100,-10
84,2,1,7,7,11,0.140625,-1,100,-10
85,2,0,7,7,12,0.140625,-1,100,-10
86,0,0,7,7,14,0.140625,-1,100,-10
87,6,5,7,7,3,0.140625,-1,100,-10
88,5,3,7,7,6,0.140625,-1,100,-10
89,5,1,7,7,8,0.140625,-1,100,-10
90,7,4,7,7,3,0.140625,-1,100,-10
91,7,1,7,7,6,0.140625,-1,100,-10
92,3,5,7,7,6,0.140625,-1,100,-10
93,3,3,7,7,8,0.140625,-1,100,-10
94,1,3,7,7,10,0.140625,-1,100,-10
95,1,2,7,7,11,0.140625,-1,100,-10
96,5,5,7,7,4,0.140625,-1,100,-10
97,4,2,7,7,8,0.140625,-1,100,-10
98,7,0,7,7,7,0.140625,-1,100,-10
99,2,0,7,7,12,0.140625,-1,100,-10
100,2,7,7,7,5,0.140625,-1,100,-10
101,2,7,7,7,5,0.140625,-1,100,-10
102,3,5,7,7,6,0.140625,-1,100,-10
103,3,2,7,7,9,0.140625,-1,100,-10
104,6,7,7,7,1,0.140625,-1,100,-10
105,2,6,7,7,6,0.140625,-1,100,-10
106,2,5,7,7,7,0.140625,-1,100,-10
107,6,3,7,7,5,0.140625,-1,100,-10
108,5,2,7,7,7,0.140625,-1,100,-10
109,0,0,7,7,14,0.140625,-1,100,-10
110,3,7,7,7,4,0.140625,-1,100,-10
111,1,3,7,7,10,0.140625,-1,100,-10
112,5,1,7,7,8,0.140625,-1,100,-10
113,5,2,7,7,7,0.140625,-1,100,-10
114,6,4,7,7,4,0.140625,-1,100,-10
115,4,1,7,7,9,0.140625,-1,100,-10
116,3,6,7,7,5,0.140625,-1,100,-10
117,0,6,7,7,8,0.140625,-1,100,-10
118,3,5,7,7,6,0.140625,-1,100,-10
119,5,3,7,7,6,0.140625,-1,100,-10
120,2,5,7,7,7,0.140625,-1,100,-10
121,1,4,7,7,9,0.140625,-1,100,-10
122,0,5,7,7,9,0.140625,-1,100,-10
123,5,0,7,7,9,0.140625,-1,100,-10
124,6,3,7,7,5,0.140625,-1,100,-10
125,6,0,7,7,8,0.140625,-1,100,-10
126,1,3,7,7,10,0.140625,-1,100,-10
127,1,2,7,7,11,0.140625,-1,100,-10
128,5,1,7,7,8,0.140625,-1,100,-10
129,5,0,7,7,9,0.140625,-1,100,-10
130,1,4,7,7,9,0.140625,-1,100,-10
131,6,1,7,7,7,0.140625,-1,100,-10
132,2,7,7,7,5,0.140625,-1,100,-10
133,7,4,7,7,3,0.140625,-1,100,-10
134,3,2,7,7,9,0.140625,-1,100,-10
135,4,4,7,7,6,0.140625,-1,100,-10
136,2,0,7,7,12,0.140625,-1,100,-10
137,1,7,7,7,6,0.140625,-1,100,-10
138,3,3,7,7,8,0.140625,-1,100,-10
139,3,6,7,7,5,0.140625,-1,100,-10
140,0,0,7,7,14,0.140625,-1,100,-10
141,2,3,7,7,9,0.140625,-1,100,-10
142,5,3,7,7,6,0.140625,-1,100,-10
143,3,7,7,7,4,0.140625,-1,100,-10
144,1,4,7,7,9,0.140625,-1,100,-10
145,4,3,7,7,7,0.140625,-1,100,-10
146,6,2,7,7,6,0.140625,-1,100,-10
147,7,2,7,7,5,0.140625,-1,100,-10
148,4,4,7,7,6,0.140625,-1,100,-10
149,6,3,7,7,5,0.140625,-1,100,-10
150,2,0,7,7,12,0.140625,-1,100,-10
151,2,6,7,7,6,0.140625,-1,100,-10
152,0,7,7,7,7,0.140625,-1,100,-10
153,4,1,7,7,9,0.140625,-1,100,-10
154,2,4,7,7,8,0.140625,-1,100,-10
155,2,0,7,7,12,0.140625,-1,100,-10
156,5,5,7,7,4,0.140625,-1,100,-10
157,0,2,7,7,12,0.140625,-1,100,-10
158,1,5,7,7,8,0.140625,-1,100,-10
159,5,5,7,7,4,0.140625,-1,100,-10
160,7,6,7,7,1,0.140625,-1,100,-10
161,2,0,7,7,12,0.140625,-1,100,-10
162,4,7,7,7,3,0.140625,-1,100,-10
163,7,1,7,7,6,0.140625,-1,100,-10
164,1,0,7,7,13,0.140625,-1,100,-10
165,1,4,7,7,9,0.140625,-1,100,-10
166,4,2,7,7,8,0.140625,-1,100,-10
167,2,6,7,7,6,0.140625,-1,100,-10
168,3,6,7,7,5,0.140625,-1,100,-10
169,7,2,7,7,5,0.140625,-1,100,-10
170,1,7,7,7,6,0.140625,-1,100,-10
171,5,2,7,7,7,0.140625,-1,100,-10
172,4,4,7,7,6,0.140625,-1,100,-10
173,7,2,7,7,5,0.140625,-1,100,-10
174,7,7,7,7,0,0.140625,-1,100,-10
175,1,1,7,7,12,0.140625,-1,100,-10
176,4,0,7,7,10,0.140625,-1,100,-10
177,2,3,7,7,9,0.140625,-1,100,-10
178,7,7,7,7,0,0.140625,-1,100,-10
179,1,7,7,7,6,0.140625,-1,100,-10
180,0,5,7,7,9,0.140625,-1,100,-10
181,6,7,7,7,1,0.140625,-1,100,-10
182,1,7,7,7,6,0.140625,-1,100,-10
183,0,4,7,7,10,0.140625,-1,100,-10
